time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.400000,0,3,28284.271,-56568.542,54.0343,1,179.7544,34.6251,-4.2873,-8.3767
0.400000,0,4,56568.542,-56568.542,54.0343,1,179.6430,32.2932,-6.5078,-9.5895
0.400000,1,0,-56568.542,-28284.271,54.0343,1,180.3208,45.5769,6.0981,-5.2782
0.400000,1,1,-28284.271,-28284.271,54.0343,1,180.1848,45.2303,5.8875,-6.6874
0.400000,1,2,0.000,-28284.271,54.0343,1,180.0173,46.0571,6.8818,-5.5324
0.400000,1,3,28284.271,-28284.271,54.0343,1,179.8992,45.7578,6.7006,-5.0262
0.400000,1,4,56568.542,-28284.271,54.0343,1,179.7913,43.1672,4.2178,-6.7657
0.400000,2,0,-56568.542,0.000,54.0343,1,180.4619,47.5529,7.9329,-6.1780
0.400000,2,1,-28284.271,0.000,54.0343,1,180.3300,47.6512,8.1632,-6.8835
0.400000,2,2,0.000,0.000,54.0343,1,180.2065,47.7125,8.3480,-7.0384
0.400000,2,3,28284.271,0.000,54.0343,1,180.0522,47.5843,8.3741,-6.8686
0.400000,2,4,56568.542,0.000,54.0343,1,179.9478,47.0005,7.8947,-6.4969
0.400000,3,0,-56568.542,28284.271,54.0343,1,180.6101,44.2320,4.4638,-6.6159
0.400000,3,1,-28284.271,28284.271,54.0343,1,180.4824,45.9052,6.2648,-5.3949
0.400000,3,2,0.000,28284.271,54.0343,1,180.3629,46.0741,6.5532,-5.6421
0.400000,3,3,28284.271,28284.271,54.0343,1,180.2524,45.5794,6.1690,-5.8904
0.400000,3,4,56568.542,28284.271,54.0343,1,180.1516,44.7102,5.4005,-5.6219
0.400000,4,0,-56568.542,56568.542,54.0343,1,180.7647,36.1595,-3.7632,-7.0655
0.400000,4,1,-28284.271,56568.542,54.0343,1,180.6411,37.5109,-2.2883,-6.7770
0.400000,4,2,0.000,56568.542,54.0343,1,180.5257,39.0893,-0.5944,-5.2945
0.400000,4,3,28284.271,56568.542,54.0343,1,180.4190,38.0465,-1.5305,-6.3462
0.400000,4,4,56568.542,56568.542,54.0343,1,180.3218,36.1786,-3.3013,-7.8465
0.500000,0,0,-56568.542,-56568.542,54.0722,1,180.1845,35.2270,-4.1156,-8.7282
0.500000,0,1,-28284.271,-56568.542,54.0722,1,180.0044,36.4065,-2.7559,-7.1862
0.500000,0,2,0.000,-56568.542,54.0722,1,179.8729,37.7888,-1.2421,-5.2996
0.500000,0,3,28284.271,-56568.542,54.0722,1,179.7510,34.6235,-4.2856,-8.3828
0.500000,0,4,56568.542,-56568.542,54.0722,1,179.6396,32.3437,-6.4539,-9.5462
0.500000,1,0,-56568.542,-28284.271,54.0722,1,180.3175,45.5869,6.1114,-5.2617
0.500000,1,1,-28284.271,-28284.271,54.0722,1,180.1814,45.2283,5.8889,-6.6843
0.500000,1,2,0.000,-28284.271,54.0722,1,180.0138,46.0628,6.8910,-5.5141
0.500000,1,3,28284.271,-28284.271,54.0722,1,179.8956,45.7637,6.7101,-5.0015
0.500000,1,4,56568.542,-28284.271,54.0722,1,179.7876,43.1665,4.2208,-6.7466
0.500000,2,0,-56568.542,0.000,54.0722,1,180.4584,47.5527,7.9363,-6.1743
0.500000,2,1,-28284.271,0.000,54.0722,1,180.3264,47.6512,8.1668,-6.8789
0.500000,2,2,0.000,0.000,54.0722,1,180.2028,47.7125,8.3517,-7.0330
0.500000,2,3,28284.271,0.000,54.0722,1,180.0484,47.5842,8.3778,-6.8645
0.500000,2,4,56568.542,0.000,54.0722,1,179.9439,46.9996,7.8976,-6.4942
0.500000,3,0,-56568.542,28284.271,54.0722,1,180.6064,44.2249,4.4605,-6.6063
0.500000,3,1,-28284.271,28284.271,54.0722,1,180.4786,45.9090,6.2724,-5.3744
0.500000,3,2,0.000,28284.271,54.0722,1,180.3590,46.0790,6.5620,-5.6252
0.500000,3,3,28284.271,28284.271,54.0722,1,180.2484,45.5825,6.1760,-5.8791
