user_id,x_m,y_m,z_m
318,1034.386416352,-4866.405479205,-1.942541306
319,1537.397825712,-4731.623978283,-1.942541306
320,2023.565182773,-4545.001814900,-1.942541306
321,2487.561936232,-4308.583660529,-1.942541306
322,2924.304440563,-4024.959761945,-1.942541306
323,3329.007653493,-3697.237561931,-1.942541306
324,3697.237561931,-3329.007653493,-1.942541306
325,4024.959761945,-2924.304440563,-1.942541306
326,4308.583660529,-2487.561936232,-1.942541306
327,4545.001814900,-2023.565182773,-1.942541306
328,4731.623978283,-1537.397825712,-1.942541306
329,4866.405479205,-1034.386416352,-1.942541306
330,4947.869623336,-520.042052955,-1.942541306
331,5472.636142907,0.000000000,-2.350474955
332,5447.855622723,520.207138188,-2.350474955
333,5373.738478398,1035.703199977,-2.350474955
334,5250.955926268,1541.819773204,-2.350474955
335,5080.619904140,2033.973387808,-2.350474955
336,4864.273001406,2507.707024444,-2.350474955
337,4603.874489121,2958.730477939,-2.350474955
338,4301.782576534,3382.959210054,-2.350474955
339,3960.733054786,3776.551339699,-2.350474955
340,3583.814521160,4135.942435598,-2.350474955
341,3174.440408263,4457.877796334,-2.350474955
342,2736.318071454,4739.441925427,-2.350474955
343,2273.415214461,4978.084934522,-2.350474955
344,1789.923957238,5171.645635575,-2.350474955
345,1290.222871482,5318.371112903,-2.350474955
346,778.837327606,5416.932597862,-2.350474955
347,260.398512286,5466.437502383,-2.350474955
348,-260.398512286,5466.437502383,-2.350474955
349,-778.837327606,5416.932597862,-2.350474955
350,-1290.222871482,5318.371112903,-2.350474955
351,-1789.923957238,5171.645635575,-2.350474955
352,-2273.415214461,4978.084934522,-2.350474955
353,-2736.318071454,4739.441925427,-2.350474955
354,-3174.440408263,4457.877796334,-2.350474955
355,-3583.814521160,4135.942435598,-2.350474955
356,-3960.733054786,3776.551339699,-2.350474955
357,-4301.782576534,3382.959210054,-2.350474955
358,-4603.874489121,2958.730477939,-2.350474955
359,-4864.273001406,2507.707024444,-2.350474955
360,-5080.619904140,2033.973387808,-2.350474955
361,-5250.955926268,1541.819773204,-2.350474955
362,-5373.738478398,1035.703199977,-2.350474955
363,-5447.855622723,520.207138188,-2.350474955
364,-5472.636142907,0.000000000,-2.350474955
365,-5447.855622723,-520.207138188,-2.350474955
366,-5373.738478398,-1035.703199977,-2.350474955
367,-5250.955926268,-1541.819773204,-2.350474955
368,-5080.619904140,-2033.973387808,-2.350474955
369,-4864.273001406,-2507.707024444,-2.350474955
370,-4603.874489121,-2958.730477939,-2.350474955
371,-4301.782576534,-3382.959210054,-2.350474955
372,-3960.733054786,-3776.551339699,-2.350474955
373,-3583.814521160,-4135.942435598,-2.350474955
374,-3174.440408263,-4457.877796334,-2.350474955
375,-2736.318071454,-4739.441925427,-2.350474955
376,-2273.415214461,-4978.084934522,-2.350474955
377,-1789.923957238,-5171.645635575,-2.350474955
378,-1290.222871482,-5318.371112903,-2.350474955
379,-778.837327606,-5416.932597862,-2.350474955
380,-260.398512286,-5466.437502383,-2.350474955
381,260.398512286,-5466.437502383,-2.350474955
382,778.837327606,-5416.932597862,-2.350474955
383,1290.222871482,-5318.371112903,-2.350474955
384,1789.923957238,-5171.645635575,-2.350474955
385,2273.415214460,-4978.084934522,-2.350474955
386,2736.318071454,-4739.441925427,-2.350474955
387,3174.440408263,-4457.877796334,-2.350474955
388,3583.814521160,-4135.942435598,-2.350474955
389,3960.733054786,-3776.551339699,-2.350474955
390,4301.782576534,-3382.959210054,-2.350474955
391,4603.874489121,-2958.730477939,-2.350474955
392,4864.273001406,-2507.707024444,-2.350474955
393,5080.619904140,-2033.973387808,-2.350474955
394,5250.955926268,-1541.819773204,-2.350474955
395,5373.738478398,-1035.703199977,-2.350474955
396,5447.855622723,-520.207138188,-2.350474955
397,5970.148379978,0.000000000,-2.797259417
398,5947.430162955,520.332716371,-2.797259417
399,5879.448411235,1036.705386584,-2.797259417
400,5766.720506998,1545.188102826,-2.797259417
401,5610.104377662,2041.911004595,-2.797259417
402,5410.791966538,2523.093730680,-2.797259417
403,5170.300161423,2985.074189989,-2.797259417
404,4890.459250167,3424.336432274,-2.797259417
405,4573.398991078,3837.537406640,-2.797259417
406,4221.532404172,4221.532404172,-2.797259417
407,3837.537406640,4573.398991078,-2.797259417
408,3424.336432274,4890.459250167,-2.797259417
409,2985.074189989,5170.300161423,-2.797259417
410,2523.093730680,5410.791966538,-2.797259417
411,2041.911004595,5610.104377662,-2.797259417
412,1545.188102826,5766.720506998,-2.797259417
413,1036.705386584,5879.448411235,-2.797259417
414,520.332716371,5947.430162955,-2.797259417
415,0.000000000,5970.148379978,-2.797259417
416,-520.332716371,5947.430162955,-2.797259417
417,-1036.705386584,5879.448411235,-2.797259417
418,-1545.188102826,5766.720506998,-2.797259417
419,-2041.911004595,5610.104377662,-2.797259417
420,-2523.093730680,5410.791966538,-2.797259417
421,-2985.074189989,5170.300161423,-2.797259417
422,-3424.336432274,4890.459250167,-2.797259417
423,-3837.537406640,4573.398991078,-2.797259417
424,-4221.532404172,4221.532404172,-2.797259417
425,-4573.398991078,3837.537406640,-2.797259417
426,-4890.459250167,3424.336432274,-2.797259417
427,-5170.300161423,2985.074189989,-2.797259417
428,-5410.791966538,2523.093730680,-2.797259417
429,-5610.104377662,2041.911004595,-2.797259417
430,-5766.720506998,1545.188102826,-2.797259417
431,-5879.448411235,1036.705386584,-2.797259417
432,-5947.430162955,520.332716371,-2.797259417
433,-5970.148379978,0.000000000,-2.797259417
434,-5947.430162955,-520.332716371,-2.797259417
435,-5879.448411235,-1036.705386584,-2.797259417
436,-5766.720506998,-1545.188102826,-2.797259417
437,-5610.104377662,-2041.911004595,-2.797259417
438,-5410.791966538,-2523.093730680,-2.797259417
439,-5170.300161423,-2985.074189989,-2.797259417
440,-4890.459250167,-3424.336432274,-2.797259417
441,-4573.398991078,-3837.537406640,-2.797259417
442,-4221.532404172,-4221.532404172,-2.797259417
443,-3837.537406640,-4573.398991078,-2.797259417
444,-3424.336432274,-4890.459250167,-2.797259417
445,-2985.074189989,-5170.300161423,-2.797259417
446,-2523.093730680,-5410.791966538,-2.797259417
447,-2041.911004595,-5610.104377662,-2.797259417
448,-1545.188102826,-5766.720506998,-2.797259417
449,-1036.705386584,-5879.448411235,-2.797259417
450,-520.332716371,-5947.430162955,-2.797259417
451,-0.000000000,-5970.148379978,-2.797259417
452,520.332716371,-5947.430162955,-2.797259417
453,1036.705386584,-5879.448411235,-2.797259417
454,1545.188102826,-5766.720506998,-2.797259417
455,2041.911004595,-5610.104377662,-2.797259417
456,2523.093730680,-5410.791966538,-2.797259417
457,2985.074189989,-5170.300161423,-2.797259417
458,3424.336432274,-4890.459250167,-2.797259417
459,3837.537406640,-4573.398991078,-2.797259417
460,4221.532404172,-4221.532404172,-2.797259417
461,4573.398991078,-3837.537406640,-2.797259417
462,4890.459250167,-3424.336432274,-2.797259417
463,5170.300161423,-2985.074189989,-2.797259417
464,5410.791966538,-2523.093730680,-2.797259417
465,5610.104377662,-2041.911004595,-2.797259417
466,5766.720506998,-1545.188102826,-2.797259417
467,5879.448411235,-1036.705386584,-2.797259417
468,5947.430162955,-520.332716371,-2.797259417
469,6467.660580641,0.000000000,-3.282894691
470,6446.687950286,520.430454549,-3.282894691
471,6383.906074775,1037.485717894,-3.282894691
472,6279.722118663,1547.812488243,-3.282894691
473,6134.811754883,2048.101100661,-3.282894691
474,5950.114782752,2535.106991520,-3.282894691
475,5726.829033008,3005.671740738,-3.282894691
476,5466.402599420,3456.743555347,-3.282894691
477,5170.524447344,3885.397061537,-3.282894691
478,4841.113460132,4288.852276834,-3.282894691
479,4480.305994444,4664.492639348,-3.282894691
480,4090.442025147,5009.881977182,-3.282894691
481,3674.049969685,5322.780307944,-3.282894691
482,3233.830290321,5601.158365890,-3.282894691
