cell_idx,time_s,from_sat,to_sat,snr_before_dB,snr_after_dB,snr_gain_dB
2,2655,51,21,-30.8699,-30.9519,-0.08199999999999719
2,2741,21,51,-35.2708,-34.8808,0.39000000000000057
2,2793,51,21,-30.7256,-30.9481,-0.22250000000000014
2,2808,21,51,-30.887,-30.5667,0.3202999999999996
2,2888,51,20,-34.4594,-34.5767,-0.11730000000000018
2,2892,20,51,-34.4397,-34.3102,0.12950000000000017
2,2950,51,50,-32.0288,-31.8375,0.19129999999999825
2,3192,50,20,-36.8068,-36.9844,-0.1775999999999982
2,3198,20,50,-37.6631,-37.7622,-0.09909999999999997
2,3232,50,20,-34.3564,-34.3378,0.018599999999999284
2,3308,20,50,-31.1442,-30.9763,0.16790000000000305
2,3496,50,19,-33.0546,-33.084,-0.029400000000002535
2,3510,19,49,-32.9236,-31.7681,1.1555
3,35,45,15,-26.3309,-27.7471,-1.4162
3,44,15,45,-30.5814,-30.5729,0.008499999999997954
3,51,45,15,-28.3904,-27.854,0.5364000000000004
3,66,15,45,-30.8559,-30.3756,0.4802999999999997
3,72,45,15,-29.6619,-29.4882,0.1737000000000002
3,155,15,45,-30.8224,-30.7242,0.09819999999999851
3,182,45,15,-32.2896,-32.3381,-0.0484999999999971
3,189,15,45,-31.715,-31.2658,0.44920000000000115
3,234,45,15,-30.8054,-30.8941,-0.08870000000000289
3,265,15,44,-31.6278,-31.6211,0.006700000000002149
3,298,44,14,-30.7344,-30.5774,0.15700000000000003
3,392,14,44,-27.166,-27.5548,-0.3887999999999998
3,395,44,14,-27.4091,-27.0616,0.34750000000000014
3,419,14,44,-26.7796,-28.2057,-1.4261000000000017
3,420,44,14,-28.2057,-26.8554,1.3503000000000007
3,439,14,44,-26.1971,-25.9318,0.26529999999999987
3,445,44,14,-25.2452,-25.0023,0.24289999999999878
3,458,14,44,-27.8266,-28.6836,-0.8569999999999993
3,599,44,14,-29.1891,-29.1235,0.06559999999999988
3,600,14,44,-29.1235,-27.6398,1.483699999999999
3,603,44,14,-27.5954,-28.9301,-1.334699999999998
3,608,14,44,-29.6223,-28.1102,1.5121000000000002
3,611,44,14,-29.4459,-30.2936,-0.8476999999999997
3,613,14,44,-30.4518,-30.0387,0.4131
3,619,44,14,-28.9933,-33.3331,-4.3398
3,620,14,44,-33.3331,-30.9785,2.3546000000000014
3,628,44,14,-29.8075,-32.0556,-2.2480999999999973
3,629,14,44,-32.0556,-29.4231,2.6324999999999967
3,638,44,14,-29.3416,-29.5241,-0.182500000000001
3,640,14,44,-29.293,-27.3306,1.9623999999999988
3,649,44,14,-27.3427,-28.505,-1.1622999999999983
3,652,14,44,-28.625,-28.2802,0.34479999999999933
3,664,44,14,-27.9044,-29.3197,-1.415300000000002
3,668,14,44,-29.5322,-28.3037,1.2285000000000004
3,718,44,14,-31.3721,-31.7744,-0.4023000000000003
3,722,14,44,-31.6169,-31.2288,0.38810000000000144
3,773,44,14,-31.0927,-31.2521,-0.159399999999998
3,784,14,13,-31.4572,-31.4665,-0.009299999999999642
3,802,13,54,-31.5082,-31.509,-0.0008000000000016882
3,839,54,13,-30.8726,-30.7273,0.14529999999999887
3,946,13,54,-27.5546,-27.9856,-0.43100000000000094
3,953,54,13,-29.2603,-28.9296,0.3307000000000002
3,977,13,54,-26.8316,-27.0275,-0.1958999999999982
3,1056,54,13,-36.2718,-39.1756,-2.903800000000004
3,1059,13,54,-38.7183,-36.4188,2.299500000000002
3,1121,54,13,-31.3075,-32.7374,-1.4299
3,1123,13,54,-33.1206,-29.0298,4.0908000000000015
3,1307,54,13,-31.4534,-31.6075,-0.15410000000000323
3,1317,13,12,-31.7877,-31.7984,-0.010699999999999932
3,1339,12,53,-31.5324,-31.5255,0.00689999999999813
3,1385,53,12,-31.1342,-31.1109,0.023299999999998988
3,1459,12,53,-29.4334,-29.4458,-0.012399999999999523
3,1478,53,12,-28.4872,-28.3279,0.15930000000000177
3,1518,12,53,-29.4148,-29.5289,-0.11410000000000053
3,1533,53,12,-32.2212,-32.4514,-0.2301999999999964
3,1543,12,53,-34.4061,-34.4255,-0.01939999999999742
3,1559,53,12,-35.4342,-36.208,-0.7738000000000014
3,1592,12,53,-34.0642,-34.0845,-0.020299999999998875
3,1599,53,12,-34.0779,-34.3991,-0.3211999999999975
3,1608,12,53,-34.2409,-33.9318,0.3091000000000008
3,1646,53,12,-34.7898,-34.5074,0.28240000000000265
3,1657,12,53,-32.4006,-31.708,0.6925999999999988
3,1670,53,12,-30.8301,-31.0865,-0.2563999999999993
3,1672,12,53,-30.9735,-30.2598,0.7137000000000029
3,1836,53,12,-31.7213,-31.9304,-0.2090999999999994
3,1841,12,11,-31.9979,-32.6273,-0.6293999999999969
3,1887,11,52,-31.5116,-31.5123,-0.0006999999999983686
3,1938,52,11,-31.7145,-31.7332,-0.01869999999999905
3,2061,11,52,-34.3028,-34.0911,0.21170000000000044
3,2089,52,11,-36.415,-36.7967,-0.38170000000000215
3,2187,11,52,-31.6459,-31.5248,0.12110000000000198
3,2205,52,11,-33.5626,-33.7985,-0.23589999999999378
3,2208,11,52,-34.0243,-33.9066,0.11769999999999925
3,2365,52,21,-33.3916,-33.5665,-0.17490000000000094
3,2370,21,52,-33.3827,-33.2705,0.11220000000000141
3,2416,52,21,-31.7108,-31.7344,-0.02360000000000184
3,2451,21,51,-31.6543,-31.6753,-0.021000000000000796
3,2500,51,21,-32.9649,-32.977,-0.012099999999996669
3,2713,21,51,-36.8765,-36.7198,0.15670000000000073
3,2952,51,50,-32.2224,-32.226,-0.0035999999999987153
3,2966,50,20,-32.1024,-32.0946,0.007800000000003138
3,3012,20,50,-32.0352,-32.0459,-0.010699999999999932
3,3065,50,20,-35.0687,-35.1848,-0.11610000000000298
3,3097,20,50,-35.1529,-35.0189,0.13400000000000034
3,3198,50,20,-37.9474,-37.8944,0.05300000000000438
3,3280,20,50,-32.6641,-32.6261,0.0379999999999967
3,3494,50,19,-33.0288,-33.0476,-0.018800000000005923
3,3510,19,49,-32.6746,-32.4093,0.2652999999999963
3,3598,49,19,-32.7767,-32.8014,-0.02470000000000283
4,80,45,15,-34.8136,-35.8646,-1.051000000000002
4,82,15,45,-35.7627,-34.3852,1.3775000000000048
4,90,45,15,-34.3988,-36.119,-1.7201999999999984
4,92,15,45,-36.2494,-34.9041,1.3453000000000017
4,112,45,15,-33.9491,-34.1789,-0.22979999999999734
4,168,15,45,-38.2344,-38.062,0.17240000000000322
4,170,45,14,-37.7989,-35.3592,2.439700000000002
4,198,14,15,-33.8071,-33.7545,0.052599999999998204
4,260,15,44,-32.3681,-32.3524,0.015699999999995384
4,301,44,14,-31.6703,-31.5885,0.0818000000000012
4,470,14,44,-30.7883,-31.7788,-0.9905000000000008
4,480,44,14,-37.6756,-38.5249,-0.8492999999999995
4,484,14,44,-36.1945,-34.8291,1.365400000000001
4,491,44,14,-34.0849,-34.0769,0.007999999999995566
4,500,14,44,-35.2001,-35.3495,-0.14939999999999998
4,506,44,14,-36.5471,-36.4852,0.0619000000000014
4,521,14,44,-33.6608,-33.0337,0.6270999999999987
4,526,44,14,-32.952,-33.9053,-0.9532999999999987
4,529,14,44,-34.2518,-32.0393,2.2125000000000057
4,542,44,14,-32.1386,-34.9165,-2.7779000000000025
4,543,14,44,-34.9165,-30.5269,4.389599999999998
4,638,44,14,-33.7273,-35.4525,-1.725200000000001
4,642,14,44,-34.6401,-33.9068,0.7332999999999998
4,647,44,14,-33.6971,-33.7985,-0.10139999999999816
4,691,14,44,-38.5593,-37.98,0.5793000000000035
4,713,44,13,-34.6962,-34.942,-0.24580000000000268
4,729,13,44,-34.0176,-33.6467,0.3708999999999989
4,764,44,14,-32.4891,-32.4963,-0.007199999999997431
4,772,14,13,-32.4795,-32.4786,0.0009000000000014552
4,804,13,54,-32.3585,-32.3656,-0.0071000000000012164
4,839,54,13,-32.2105,-31.9552,0.25530000000000186
4,1007,13,54,-36.1643,-36.9577,-0.7934000000000054
4,1047,54,13,-35.6103,-36.8177,-1.2073999999999998
4,1048,13,54,-36.8177,-35.9668,0.8509000000000029
4,1059,54,13,-35.145,-36.3188,-1.1738
4,1060,13,54,-36.3188,-33.8919,2.4269000000000034
4,1246,54,13,-34.1022,-34.9979,-0.8956999999999979
4,1252,13,54,-34.544,-34.4196,0.12439999999999429
4,1300,54,12,-32.5757,-32.6684,-0.09270000000000067
4,1358,12,53,-32.4753,-32.5044,-0.02909999999999968
4,1381,53,12,-33.0115,-32.8267,0.18479999999999563
4,1571,12,53,-35.9834,-35.7446,0.2388000000000048
4,1832,53,11,-33.0784,-33.062,0.01640000000000441
4,1918,11,53,-33.3603,-33.4004,-0.04009999999999536
4,1919,53,11,-33.4004,-32.9718,0.4285999999999959
4,1925,11,53,-33.6247,-33.6872,-0.0625
4,1930,53,11,-33.8751,-33.7667,0.10840000000000316
4,2181,11,52,-35.484,-35.3523,0.13170000000000215
4,2358,52,11,-33.2426,-33.4133,-0.17069999999999652
4,2361,11,21,-33.4206,-33.8647,-0.44409999999999883
4,2693,21,51,-36.7755,-36.7629,0.012599999999999056
4,2951,51,20,-32.5901,-32.6022,-0.012100000000003774
4,3126,20,50,-35.6492,-35.6404,0.008800000000000807
4,3203,50,20,-37.8108,-37.3109,0.4999000000000038
4,3223,20,50,-36.9291,-36.8608,0.0683000000000007
4,3493,50,19,-33.1654,-33.1759,-0.010500000000000398
5,16,15,45,-32.7924,-33.4522,-0.659799999999997
5,18,45,15,-32.4342,-31.4741,0.9600999999999971
5,27,15,45,-30.9671,-31.7997,-0.8326000000000029
5,30,45,15,-33.2329,-33.9624,-0.7295000000000016
5,41,15,45,-30.0412,-31.0548,-1.0136000000000003
5,109,45,15,-28.956,-30.9194,-1.9634
5,110,15,45,-30.9194,-28.9882,1.9312000000000005
5,125,45,15,-28.6729,-29.6392,-0.9663000000000004
5,131,15,45,-29.4713,-29.3319,0.13939999999999841
5,149,45,15,-31.8034,-32.1662,-0.36280000000000356
5,153,15,45,-32.812,-32.3303,0.48169999999999646
5,183,45,15,-33.5369,-34.1122,-0.5752999999999986
5,190,15,45,-33.1672,-32.8315,0.3357000000000028
5,235,45,15,-31.544,-31.6699,-0.1258999999999979
5,271,15,44,-32.3098,-32.3174,-0.0075999999999964984
5,311,44,14,-31.8073,-31.8195,-0.012199999999999989
5,324,14,44,-32.0783,-32.2278,-0.1495000000000033
5,346,44,45,-34.2034,-34.3085,-0.1051000000000002
5,358,45,14,-34.9348,-34.8414,0.09340000000000259
5,372,14,44,-35.3898,-35.2693,0.12049999999999983
5,428,44,14,-35.7596,-35.3784,0.38119999999999976
5,437,14,44,-34.7464,-34.4696,0.2768000000000015
5,461,44,14,-35.419,-33.7302,1.6887999999999934
5,545,14,44,-26.0001,-28.1298,-2.1296999999999997
5,546,44,14,-28.1298,-26.7178,1.411999999999999
5,559,14,44,-24.0635,-24.1813,-0.11779999999999902
5,597,44,14,-27.0478,-27.267,-0.21920000000000073
5,599,14,44,-27.0531,-26.4206,0.6325000000000003
5,601,44,14,-26.0566,-26.6384,-0.5818000000000012
5,623,14,44,-33.1788,-33.0373,0.14150000000000063
5,627,44,14,-31.8609,-31.5202,0.3407000000000018
5,681,14,44,-32.0186,-32.1792,-0.1606000000000023
5,685,44,14,-32.83,-33.1134,-0.2834000000000003
5,694,14,44,-35.4097,-34.1793,1.230400000000003
5,715,44,14,-32.0418,-32.4771,-0.435299999999998
5,735,14,44,-31.3763,-31.2787,0.09759999999999991
5,767,44,14,-31.5342,-31.665,-0.1308000000000007
5,799,14,54,-32.1763,-32.1918,-0.015500000000002956
5,857,54,13,-31.798,-31.771,0.02699999999999747
5,872,13,54,-32.858,-32.9757,-0.11770000000000636
5,883,54,44,-34.5389,-34.6383,-0.09940000000000282
5,899,44,54,-35.3369,-35.3232,0.013700000000000045
5,985,54,13,-29.4067,-29.4842,-0.07750000000000057
5,1003,13,54,-29.8879,-29.9054,-0.017500000000001847
5,1011,54,13,-29.8402,-30.0548,-0.2146000000000008
5,1068,13,54,-25.9179,-24.3467,1.571200000000001
5,1071,54,13,-22.723,-23.6125,-0.8895000000000017
5,1076,13,54,-22.9051,-21.4604,1.444700000000001
5,1081,54,13,-21.5205,-23.0043,-1.4838000000000022
5,1082,13,54,-23.0043,-21.794,1.2103000000000002
5,1121,54,13,-24.5757,-25.3771,-0.8013999999999974
5,1124,13,54,-25.5915,-24.6802,0.9113000000000007
5,1130,54,13,-25.1089,-27.084,-1.9751000000000012
5,1132,13,54,-27.4737,-26.4705,1.0031999999999996
5,1138,54,13,-28.7731,-31.813,-3.0398999999999994
5,1139,13,54,-31.813,-28.9939,2.819099999999999
5,1145,54,13,-29.1499,-29.1787,-0.02880000000000038
5,1282,13,54,-31.2906,-31.257,0.03359999999999985
5,1294,54,13,-31.4606,-31.4823,-0.021699999999999164
5,1321,13,12,-32.0168,-34.2925,-2.2756999999999934
5,1330,12,53,-34.651,-32.0954,2.5556000000000054
5,1404,53,12,-31.8823,-31.8503,0.03200000000000003
5,1433,12,53,-34.7728,-34.9017,-0.12890000000000157
5,1529,53,12,-27.4807,-27.4793,0.00140000000000029
5,1548,12,53,-25.2342,-24.9839,0.25030000000000285
5,1551,53,12,-24.8766,-24.8766,0.0
5,1565,12,53,-24.6332,-24.4415,0.19169999999999732
5,1577,53,12,-25.7428,-26.9325,-1.189700000000002
5,1579,12,53,-27.2396,-25.9437,1.2958999999999996
5,1652,53,12,-27.2409,-27.826,-0.5851000000000006
5,1841,12,11,-31.9079,-34.183,-2.2750999999999983
5,1870,11,52,-34.5177,-31.9335,2.584199999999999
5,1952,52,11,-31.8716,-31.9434,-0.07179999999999964
5,1987,11,52,-30.9452,-30.8511,0.09410000000000096
5,2045,52,11,-30.1544,-30.0914,0.06299999999999883
5,2053,11,52,-29.0721,-28.5219,0.5502000000000002
5,2084,52,11,-26.4304,-26.5486,-0.11820000000000164
5,2092,11,52,-26.4481,-25.7787,0.6693999999999996
5,2150,52,11,-25.592,-26.4676,-0.8756000000000022
5,2151,11,52,-26.4676,-26.0861,0.3815000000000026
5,2187,52,11,-27.0592,-27.1104,-0.051199999999997914
5,2361,11,21,-31.8127,-34.5005,-2.687800000000003
5,2408,21,52,-34.2986,-34.2445,0.05409999999999826
5,2410,52,51,-34.1872,-31.8842,2.3029999999999973
5,2505,51,21,-31.9515,-31.9236,0.027899999999998926
5,2539,21,51,-29.6676,-29.5381,0.12950000000000017
