time_s,cell_idx,snr_mrc_dB,n_sats
12.000000,11,-20.1991,2
12.000000,12,-16.5633,2
12.000000,13,-17.1565,2
12.000000,14,-28.7891,2
12.000000,15,-20.9289,2
12.000000,16,-18.1237,2
12.000000,17,-18.0671,2
12.000000,18,-20.4201,2
12.000000,19,-27.2986,2
12.000000,20,-24.0864,2
12.000000,21,-20.2501,2
12.000000,22,-21.8924,2
12.000000,23,-25.2697,2
12.000000,24,-25.8371,2
13.000000,0,-22.4805,2
13.000000,1,-18.8126,2
13.000000,2,-20.4204,2
13.000000,3,-18.4617,2
13.000000,4,-16.3000,2
13.000000,5,-27.5036,2
13.000000,6,-20.7059,2
13.000000,7,-17.8058,2
13.000000,8,-19.1929,2
13.000000,9,-18.2728,2
13.000000,10,-27.2683,2
13.000000,11,-20.6671,2
13.000000,12,-16.0523,2
13.000000,13,-16.9167,2
13.000000,14,-30.9410,2
13.000000,15,-20.2836,2
13.000000,16,-18.0126,2
13.000000,17,-18.7938,2
13.000000,18,-20.7937,2
13.000000,19,-28.1108,2
13.000000,20,-22.0537,2
13.000000,21,-20.0601,2
13.000000,22,-23.1346,2
13.000000,23,-23.5797,2
13.000000,24,-24.9868,2
14.000000,0,-21.9769,2
14.000000,1,-18.8725,2
14.000000,2,-20.9560,2
14.000000,3,-17.8698,2
14.000000,4,-16.3391,2
14.000000,5,-29.5059,2
14.000000,6,-21.9946,2
14.000000,7,-17.3822,2
14.000000,8,-20.7034,2
14.000000,9,-17.6387,2
14.000000,10,-27.3742,2
14.000000,11,-20.6782,2
14.000000,12,-15.9034,2
14.000000,13,-17.2499,2
14.000000,14,-31.6353,2
14.000000,15,-19.7017,2
14.000000,16,-18.0001,2
14.000000,17,-19.6721,2
14.000000,18,-21.5466,2
14.000000,19,-29.0504,2
14.000000,20,-20.6811,2
14.000000,21,-20.0988,2
14.000000,22,-24.4313,2
14.000000,23,-22.3095,2
14.000000,24,-24.4041,2
15.000000,0,-21.8270,2
15.000000,1,-18.9167,2
15.000000,2,-21.8571,2
15.000000,3,-17.6019,2
15.000000,4,-16.8877,2
15.000000,5,-30.6982,2
15.000000,6,-22.4600,2
15.000000,7,-17.1319,2
15.000000,8,-18.2398,2
15.000000,9,-17.2551,2
15.000000,10,-27.3792,2
15.000000,11,-19.4993,2
15.000000,12,-15.8683,2
15.000000,13,-17.7955,2
15.000000,14,-29.0185,2
15.000000,15,-19.5074,2
15.000000,16,-18.2615,2
15.000000,17,-19.2019,2
15.000000,18,-22.5806,2
15.000000,19,-29.7562,2
15.000000,20,-19.8184,2
15.000000,21,-20.1483,2
