time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,44957,16,178.154362081,-1.521618822,6.558367550,43.870768024
385.370000000,38537,89.997547754,44958,16,178.154361910,-1.495183131,6.571998684,43.884398987
385.370000000,38537,89.997547754,44959,16,178.154361741,-1.480722490,6.576979311,43.889379446
385.370000000,38537,89.997547754,44960,16,178.154361575,-1.478443741,6.573299198,43.885699167
385.370000000,38537,89.997547754,44961,16,178.154361412,-1.488555249,6.560938566,43.873338372
385.370000000,38537,89.997547754,44962,16,178.154361251,-1.511263572,6.539867935,43.852267579
385.370000000,38537,89.997547754,44963,16,178.154361093,-1.546770135,6.510047908,43.822447394
385.370000000,38537,89.997547754,44964,16,178.154360937,-1.595268018,6.471428897,43.783828227
385.370000000,38537,89.997547754,44965,16,178.154360784,-1.656938944,6.423950781,43.736349959
385.370000000,38537,89.997547754,44966,16,178.154360634,-1.731950583,6.367542495,43.679941522
385.370000000,38537,89.997547754,44967,16,178.154360486,-1.820454256,6.302121545,43.614520424
385.370000000,38537,89.997547754,44968,16,178.154360340,-1.922583155,6.227593443,43.539992176
385.370000000,38537,89.997547754,44969,16,178.154360198,-2.038451148,6.143851050,43.456249642
385.370000000,38537,89.997547754,44970,16,178.154360058,-2.168152248,6.050773830,43.363172281
385.370000000,38537,89.997547754,44971,16,178.154359921,-2.311760803,5.948226982,43.260625296
385.370000000,38537,89.997547754,44972,16,178.154359786,-2.469332428,5.836060462,43.148458642
385.370000000,38537,89.997547754,44973,16,178.154359654,-2.640905712,5.714107867,43.026505914
385.370000000,38537,89.997547754,44974,16,178.154359525,-2.826504685,5.582185156,42.894583074
385.370000000,38537,89.997547754,44975,16,178.154359398,-3.026142013,5.440089212,42.752487004
385.370000000,38537,89.997547754,44976,16,178.154359274,-3.239822908,5.287596186,42.599993853
385.370000000,38537,89.997547754,44977,16,178.154359153,-3.467549673,5.124459622,42.436857168
385.370000000,38537,89.997547754,44978,16,178.154359035,-3.709326867,4.950408315,42.262805743
385.370000000,38537,89.997547754,44979,16,178.154358919,-3.965167004,4.765143862,42.077541174
385.370000000,38537,89.997547754,44980,16,178.154358806,-4.235096770,4.568337845,41.880735044
385.370000000,38537,89.997547754,44981,17,178.154358696,-3.927850487,4.788654642,42.101051732
385.370000000,38537,89.997547754,44982,17,178.154358589,-3.538808837,5.063338045,42.375735027
385.370000000,38537,89.997547754,44983,17,178.154358484,-3.156461346,5.328133647,42.640530524
385.370000000,38537,89.997547754,44984,17,178.154358382,-2.780692557,5.583310885,42.895707660
385.370000000,38537,89.997547754,44985,17,178.154358283,-2.411419310,5.829120895,43.141517571
385.370000000,38537,89.997547754,44986,17,178.154358187,-2.048589966,6.065798025,43.378194605
385.370000000,38537,89.997547754,44987,17,178.154358093,-1.692183835,6.293561184,43.605957670
