time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,27,6,178.141177564,5.604563611,137.022553969,57.339267822
385.370000000,38537,89.997547754,28,1,178.162876081,16.933341291,137.908950720,59.518996599
385.370000000,38537,89.997547754,29,9,178.108644671,1.940217930,137.357323439,56.282738554
385.370000000,38537,89.997547754,30,4,178.138415950,6.448956679,139.426364947,57.745882240
385.370000000,38537,89.997547754,31,17,178.160544134,8.313310728,139.878964137,57.968517986
385.370000000,38537,89.997547754,32,11,178.157792996,0.476030459,136.014409212,55.915791428
385.370000000,38537,89.997547754,33,15,178.200454955,30.952917571,137.770704803,58.260576715
385.370000000,38537,89.997547754,34,2,178.238764904,43.656195342,138.597121247,56.534105728
385.370000000,38537,89.997547754,35,6,178.186990113,1.234465184,134.317843695,56.145922884
385.370000000,38537,89.997547754,36,15,178.238899682,0.282662581,118.823553354,48.160678663
385.370000000,38537,89.997547754,37,8,178.143358956,3.501888433,136.919542299,57.009472273
385.370000000,38537,89.997547754,38,16,178.157898050,4.122064713,136.838305910,57.179391401
385.370000000,38537,89.997547754,39,13,178.151670503,1.265616249,133.575955969,56.605835044
385.370000000,38537,89.997547754,40,5,178.124150644,18.920032587,143.594757814,59.773884946
385.370000000,38537,89.997547754,41,2,178.227916116,3.591127925,128.500926499,51.473896110
385.370000000,38537,89.997547754,42,3,178.149266943,13.886130378,140.029178434,59.039549469
385.370000000,38537,89.997547754,43,11,178.159964230,2.371149199,134.235952956,56.465381887
385.370000000,38537,89.997547754,44,2,178.164134067,-0.081467154,135.693386667,55.972157613
385.370000000,38537,89.997547754,45,9,178.107175193,6.247901565,139.036795112,57.426851869
385.370000000,38537,89.997547754,46,10,178.141926368,11.063146496,139.795261298,58.580101443
385.370000000,38537,89.997547754,47,18,178.205924209,2.788900255,130.814745079,54.787592400
385.370000000,38537,89.997547754,48,14,178.143434784,7.386518790,135.585325242,57.766952768
385.370000000,38537,89.997547754,49,15,178.180860481,6.159613126,138.379242369,57.488667550
385.370000000,38537,89.997547754,50,5,178.117786747,8.018733300,137.002793372,57.977535610
385.370000000,38537,89.997547754,51,3,178.163836448,12.280504369,140.657906664,58.783601794
385.370000000,38537,89.997547754,52,0,178.221945452,26.043666534,133.512892174,57.425950937
385.370000000,38537,89.997547754,53,15,178.167038346,7.259510267,137.068721936,57.855415612
385.370000000,38537,89.997547754,54,4,178.111218953,6.176353452,140.472510265,57.604038254
385.370000000,38537,89.997547754,55,13,178.145633021,3.005720617,133.580731815,56.780860453
385.370000000,38537,89.997547754,56,6,178.155406573,5.411027587,135.750480986,57.279211005
385.370000000,38537,89.997547754,57,2,178.226561202,9.238912560,129.419298912,53.280438926
385.370000000,38537,89.997547754,58,2,178.211164770,37.767249572,142.188749496,59.765462991
385.370000000,38537,89.997547754,59,10,178.119513285,3.099729912,136.795972921,56.963119513
385.370000000,38537,89.997547754,60,6,178.224282526,11.240382463,128.154726178,52.850493842
385.370000000,38537,89.997547754,61,10,178.116228068,15.545374461,141.757968409,59.276278608
385.370000000,38537,89.997547754,62,17,178.152132994,16.492666070,141.238030877,59.456050534
385.370000000,38537,89.997547754,63,6,178.192794224,9.651260655,140.187350379,57.275998691
385.370000000,38537,89.997547754,64,1,178.218506569,1.088299858,127.746160357,52.311940087
385.370000000,38537,89.997547754,65,3,178.174639146,14.122322301,144.604203293,59.041568778
385.370000000,38537,89.997547754,66,11,178.204152731,33.097991781,141.595759117,60.088816251
385.370000000,38537,89.997547754,67,11,178.217942409,15.770095822,135.484087248,56.219791189
385.370000000,38537,89.997547754,68,2,178.164570676,9.234342734,139.641831286,58.208513738
385.370000000,38537,89.997547754,69,11,178.232023388,43.718292549,139.107378853,57.564026485
385.370000000,38537,89.997547754,70,3,178.207252110,6.780279630,132.861741962,55.078015080
385.370000000,38537,89.997547754,71,15,178.143218219,4.865213512,140.115715817,57.359785415
385.370000000,38537,89.997547754,72,9,178.103549156,23.602144036,144.070125992,60.254395823
