time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.400000,1,3,28284.271,-28284.271,54.0343,1,179.8992,45.7575,6.7003,-5.0268
0.400000,1,4,56568.542,-28284.271,54.0343,1,179.7913,43.1671,4.2177,-6.7662
0.400000,2,0,-56568.542,0.000,54.0343,1,180.4619,47.5528,7.9329,-6.1780
0.400000,2,1,-28284.271,0.000,54.0343,1,180.3300,47.6512,8.1632,-6.8835
0.400000,2,2,0.000,0.000,54.0343,1,180.2065,47.7125,8.3480,-7.0385
0.400000,2,3,28284.271,0.000,54.0343,1,180.0522,47.5843,8.3741,-6.8686
0.400000,2,4,56568.542,0.000,54.0343,1,179.9478,47.0004,7.8945,-6.4970
0.400000,3,0,-56568.542,28284.271,54.0343,1,180.6101,44.2320,4.4638,-6.6162
0.400000,3,1,-28284.271,28284.271,54.0343,1,180.4824,45.9050,6.2646,-5.3954
0.400000,3,2,0.000,28284.271,54.0343,1,180.3629,46.0741,6.5532,-5.6423
0.400000,3,3,28284.271,28284.271,54.0343,1,180.2524,45.5794,6.1690,-5.8904
0.400000,3,4,56568.542,28284.271,54.0343,1,180.1517,44.7103,5.4006,-5.6219
0.400000,4,0,-56568.542,56568.542,54.0343,1,180.7647,36.1593,-3.7634,-7.0655
0.400000,4,1,-28284.271,56568.542,54.0343,1,180.6411,37.5107,-2.2884,-6.7769
0.400000,4,2,0.000,56568.542,54.0343,1,180.5257,39.0890,-0.5947,-5.2946
0.400000,4,3,28284.271,56568.542,54.0343,1,180.4190,38.0463,-1.5307,-6.3465
0.400000,4,4,56568.542,56568.542,54.0343,1,180.3219,36.1785,-3.3014,-7.8466
0.500000,0,0,-56568.542,-56568.542,54.0722,1,180.1845,35.2265,-4.1160,-8.7285
0.500000,0,1,-28284.271,-56568.542,54.0722,1,180.0043,36.4060,-2.7564,-7.1865
0.500000,0,2,0.000,-56568.542,54.0722,1,179.8729,37.7882,-1.2428,-5.2997
0.500000,0,3,28284.271,-56568.542,54.0722,1,179.7510,34.6232,-4.2859,-8.3826
0.500000,0,4,56568.542,-56568.542,54.0722,1,179.6396,32.3434,-6.4542,-9.5457
0.500000,1,0,-56568.542,-28284.271,54.0722,1,180.3175,45.5863,6.1108,-5.2623
0.500000,1,1,-28284.271,-28284.271,54.0722,1,180.1813,45.2282,5.8889,-6.6842
0.500000,1,2,0.000,-28284.271,54.0722,1,180.0138,46.0628,6.8910,-5.5142
0.500000,1,3,28284.271,-28284.271,54.0722,1,179.8956,45.7635,6.7098,-5.0022
0.500000,1,4,56568.542,-28284.271,54.0722,1,179.7876,43.1664,4.2207,-6.7471
0.500000,2,0,-56568.542,0.000,54.0722,1,180.4584,47.5527,7.9363,-6.1743
0.500000,2,1,-28284.271,0.000,54.0722,1,180.3263,47.6512,8.1668,-6.8789
0.500000,2,2,0.000,0.000,54.0722,1,180.2028,47.7125,8.3517,-7.0331
0.500000,2,3,28284.271,0.000,54.0722,1,180.0484,47.5841,8.3777,-6.8646
0.500000,2,4,56568.542,0.000,54.0722,1,179.9440,46.9995,7.8975,-6.4943
0.500000,3,0,-56568.542,28284.271,54.0722,1,180.6064,44.2249,4.4605,-6.6066
0.500000,3,1,-28284.271,28284.271,54.0722,1,180.4785,45.9088,6.2722,-5.3749
0.500000,3,2,0.000,28284.271,54.0722,1,180.3590,46.0790,6.5620,-5.6254
0.500000,3,3,28284.271,28284.271,54.0722,1,180.2484,45.5825,6.1760,-5.8791
0.500000,3,4,56568.542,28284.271,54.0722,1,180.1476,44.7107,5.4051,-5.6137
0.500000,4,0,-56568.542,56568.542,54.0722,1,180.7608,36.1426,-3.7762,-7.0713
0.500000,4,1,-28284.271,56568.542,54.0722,1,180.6371,37.5057,-2.2895,-6.7716
0.500000,4,2,0.000,56568.542,54.0722,1,180.5216,39.0934,-0.5863,-5.2806
0.500000,4,3,28284.271,56568.542,54.0722,1,180.4149,38.0440,-1.5289,-6.3383
0.500000,4,4,56568.542,56568.542,54.0722,1,180.3176,36.1665,-3.3092,-7.8474
0.600000,0,0,-56568.542,-56568.542,54.1100,1,180.1814,35.2157,-4.1238,-8.7334
0.600000,0,1,-28284.271,-56568.542,54.1100,1,180.0012,36.4083,-2.7509,-7.1765
0.600000,0,2,0.000,-56568.542,54.1100,1,179.8697,37.8023,-1.2254,-5.2861
0.600000,0,3,28284.271,-56568.542,54.1100,1,179.7477,34.6216,-4.2841,-8.3887
0.600000,0,4,56568.542,-56568.542,54.1100,1,179.6362,32.3930,-6.4012,-9.5034
0.600000,1,0,-56568.542,-28284.271,54.1100,1,180.3142,45.5963,6.1241,-5.2459
0.600000,1,1,-28284.271,-28284.271,54.1100,1,180.1779,45.2262,5.8902,-6.6811
0.600000,1,2,0.000,-28284.271,54.1100,1,180.0103,46.0685,6.9002,-5.4959
0.600000,1,3,28284.271,-28284.271,54.1100,1,179.8920,45.7694,6.7193,-4.9775
0.600000,1,4,56568.542,-28284.271,54.1100,1,179.7840,43.1657,4.2237,-6.7280
0.600000,2,0,-56568.542,0.000,54.1100,1,180.4549,47.5525,7.9396,-6.1707
0.600000,2,1,-28284.271,0.000,54.1100,1,180.3227,47.6511,8.1703,-6.8742
0.600000,2,2,0.000,0.000,54.1100,1,180.1991,47.7125,8.3554,-7.0276
0.600000,2,3,28284.271,0.000,54.1100,1,180.0446,47.5840,8.3814,-6.8605
0.600000,2,4,56568.542,0.000,54.1100,1,179.9401,46.9985,7.9004,-6.4916
0.600000,3,0,-56568.542,28284.271,54.1100,1,180.6027,44.2179,4.4571,-6.5970
0.600000,3,1,-28284.271,28284.271,54.1100,1,180.4748,45.9126,6.2798,-5.3544
0.600000,3,2,0.000,28284.271,54.1100,1,180.3551,46.0839,6.5708,-5.6085
0.600000,3,3,28284.271,28284.271,54.1100,1,180.2444,45.5855,6.1831,-5.8678
0.600000,3,4,56568.542,28284.271,54.1100,1,180.1435,44.7111,5.4095,-5.6055
0.600000,4,0,-56568.542,56568.542,54.1100,1,180.7569,36.1260,-3.7890,-7.0775
0.600000,4,1,-28284.271,56568.542,54.1100,1,180.6332,37.5007,-2.2905,-6.7666
0.600000,4,2,0.000,56568.542,54.1100,1,180.5175,39.0978,-0.5778,-5.2667
0.600000,4,3,28284.271,56568.542,54.1100,1,180.4107,38.0418,-1.5270,-6.3302
0.600000,4,4,56568.542,56568.542,54.1100,1,180.3134,36.1546,-3.3168,-7.8483
0.700000,0,0,-56568.542,-56568.542,54.1478,1,180.1784,35.2049,-4.1315,-8.7381
0.700000,0,1,-28284.271,-56568.542,54.1478,1,179.9980,36.4107,-2.7454,-7.1666
0.700000,0,2,0.000,-56568.542,54.1478,1,179.8664,37.8165,-1.2079,-5.2726
0.700000,0,3,28284.271,-56568.542,54.1478,1,179.7444,34.6202,-4.2822,-8.3949
