time_s,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
264.000000000,30.535268847,30,9,183.317698767,-7.542212788,5.233337941,47.709075101
264.000000000,30.535268847,31,9,183.314696057,-7.544923435,5.234149244,47.706883695
264.000000000,30.535268847,32,9,183.311010226,-7.546620358,5.236399882,47.705448501
264.000000000,30.535268847,33,9,183.307084861,-7.546450194,5.240318401,47.705441655
264.000000000,30.535268847,34,9,183.303393416,-7.544427589,5.245436044,47.706867854
264.000000000,30.535268847,35,9,183.300382106,-7.541439303,5.250639417,47.709059916
264.000000000,30.535268847,36,9,183.298415634,-7.538838269,5.254536227,47.710990254
265.000000000,30.787990470,0,9,183.256656147,-7.481777717,5.297769450,47.712463990
265.000000000,30.787990470,1,9,183.252879786,-7.481609607,5.301464245,47.712382425
265.000000000,30.787990470,2,9,183.254768885,-7.482421461,5.299028092,47.711835370
265.000000000,30.787990470,3,9,183.258544940,-7.482615864,5.295252634,47.711835967
265.000000000,30.787990470,4,9,183.260431897,-7.481999927,5.293912337,47.712382628
265.000000000,30.787990470,5,9,183.258544940,-7.482615863,5.295252633,47.711835966
265.000000000,30.787990470,6,9,183.254768885,-7.482421459,5.299028092,47.711835370
265.000000000,30.787990470,7,9,183.249102817,-7.481495804,5.304996109,47.712137320
265.000000000,30.787990470,8,9,183.250116037,-7.482501674,5.303252707,47.711407137
265.000000000,30.787990470,9,9,183.252883158,-7.484549400,5.299026662,47.709948214
265.000000000,30.787990470,10,9,183.256660639,-7.485693229,5.294522333,47.709221365
265.000000000,30.787990470,11,9,183.260435264,-7.484933461,5.291479332,47.709952989
265.000000000,30.787990470,12,9,183.263196674,-7.483173877,5.290175765,47.711410832
265.000000000,30.787990470,13,9,183.264207039,-7.482276034,5.289893512,47.712138944
265.000000000,30.787990470,14,9,183.263196674,-7.483173878,5.290175763,47.711410830
265.000000000,30.787990470,15,9,183.260435264,-7.484933461,5.291479329,47.709952986
265.000000000,30.787990470,16,9,183.256660639,-7.485693227,5.294522332,47.709221364
265.000000000,30.787990470,17,9,183.252883158,-7.484549395,5.299026663,47.709948214
265.000000000,30.787990470,18,9,183.250116037,-7.482501670,5.303252708,47.711407138
265.000000000,30.787990470,19,9,183.245325239,-7.481436519,5.308364425,47.711728058
265.000000000,30.787990470,20,9,183.246009917,-7.482476886,5.306910305,47.710958615
265.000000000,30.787990470,21,9,183.247980842,-7.485121377,5.302992274,47.709011510
265.000000000,30.787990470,22,9,183.250998967,-7.488163705,5.297763062,47.706800422
265.000000000,30.787990470,23,9,183.254698754,-7.490231964,5.292624726,47.705361874
265.000000000,30.787990470,24,9,183.258632978,-7.490425841,5.288697462,47.705368833
265.000000000,30.787990470,25,9,183.262327116,-7.488727938,5.286451029,47.706816538
265.000000000,30.787990470,26,9,183.265336584,-7.485999883,5.285652020,47.709026998
265.000000000,30.787990470,27,9,183.267299898,-7.483569694,5.285629396,47.710967688
265.000000000,30.787990470,28,9,183.267981569,-7.482605837,5.285713576,47.711733539
265.000000000,30.787990470,29,9,183.267299898,-7.483569697,5.285629392,47.710967684
265.000000000,30.787990470,30,9,183.265336584,-7.485999886,5.285652014,47.709026992
265.000000000,30.787990470,31,9,183.262327116,-7.488727940,5.286451023,47.706816532
265.000000000,30.787990470,32,9,183.258632978,-7.490425840,5.288697458,47.705368829
265.000000000,30.787990470,33,9,183.254698754,-7.490231958,5.292624726,47.705361874
265.000000000,30.787990470,34,9,183.250998967,-7.488163697,5.297763064,47.706800424
265.000000000,30.787990470,35,9,183.247980842,-7.485121368,5.302992278,47.709011513
265.000000000,30.787990470,36,9,183.246009917,-7.482476880,5.306910308,47.710958618
266.000000000,31.043217148,0,9,183.204156839,-7.424379914,5.350268758,47.712463990
266.000000000,31.043217148,1,9,183.200372061,-7.424188527,5.353969095,47.712379549
266.000000000,31.043217148,2,9,183.202265377,-7.425021784,5.351523996,47.711827766
266.000000000,31.043217148,3,9,183.206049853,-7.425241221,5.347740127,47.711828373
266.000000000,31.043217148,4,9,183.207941014,-7.424628942,5.346400352,47.712379760
266.000000000,31.043217148,5,9,183.206049853,-7.425241220,5.347740126,47.711828372
266.000000000,31.043217148,6,9,183.202265377,-7.425021782,5.351523996,47.711827766
266.000000000,31.043217148,7,9,183.196586680,-7.424055004,5.357500729,47.712125801
266.000000000,31.043217148,8,9,183.197602165,-7.425079443,5.355748747,47.711389305
266.000000000,31.043217148,9,9,183.200375468,-7.427169180,5.351503912,47.709917774
266.000000000,31.043217148,10,9,183.204161379,-7.428349825,5.346984888,47.709184660
266.000000000,31.043217148,11,9,183.207944417,-7.427603216,5.343939819,47.709922630
266.000000000,31.043217148,12,9,183.210711974,-7.425838325,5.342642715,47.711393082
266.000000000,31.043217148,13,9,183.211724586,-7.424935392,5.342364508,47.712127487
266.000000000,31.043217148,14,9,183.210711974,-7.425838326,5.342642713,47.711393080
266.000000000,31.043217148,15,9,183.207944417,-7.427603215,5.343939817,47.709922627
266.000000000,31.043217148,16,9,183.204161379,-7.428349822,5.346984887,47.709184660
266.000000000,31.043217148,17,9,183.200375468,-7.427169174,5.351503913,47.709917775
266.000000000,31.043217148,18,9,183.197602165,-7.425079439,5.355748748,47.711389307
266.000000000,31.043217148,19,9,183.192800696,-7.423979573,5.360863017,47.711702106
266.000000000,31.043217148,20,9,183.193486906,-7.425036972,5.359400709,47.710926009
266.000000000,31.043217148,21,9,183.195462243,-7.427726130,5.355461433,47.708962069
266.000000000,31.043217148,22,9,183.198487116,-7.430824315,5.350206369,47.706731878
266.000000000,31.043217148,23,9,183.202195166,-7.432940381,5.345047370,47.705280929
266.000000000,31.043217148,24,9,183.206138163,-7.433160175,5.341111443,47.705288000
266.000000000,31.043217148,25,9,183.209840528,-7.431463276,5.338869345,47.706748266
266.000000000,31.043217148,26,9,183.212856691,-7.428719367,5.338082774,47.708977858
266.000000000,31.043217148,27,9,183.214824368,-7.426270781,5.338072564,47.710935325
266.000000000,31.043217148,28,9,183.215507553,-7.425299049,5.338161848,47.711707794
266.000000000,31.043217148,29,9,183.214824368,-7.426270782,5.338072561,47.710935321
266.000000000,31.043217148,30,9,183.212856691,-7.428719370,5.338082768,47.708977852
266.000000000,31.043217148,31,9,183.209840528,-7.431463276,5.338869340,47.706748261
266.000000000,31.043217148,32,9,183.206138163,-7.433160172,5.341111441,47.705287997
266.000000000,31.043217148,33,9,183.202195166,-7.432940374,5.345047370,47.705280930
266.000000000,31.043217148,34,9,183.198487116,-7.430824306,5.350206373,47.706731882
266.000000000,31.043217148,35,9,183.195462243,-7.427726121,5.355461437,47.708962073
266.000000000,31.043217148,36,9,183.193486906,-7.425036966,5.359400712,47.710926012
267.000000000,31.300984745,0,9,183.151541185,-7.365875051,5.402884412,47.712463990
267.000000000,31.300984745,1,9,183.147748077,-7.365658243,5.406590095,47.712376565
267.000000000,31.300984745,2,9,183.149645566,-7.366514065,5.404136076,47.711820036
267.000000000,31.300984745,3,9,183.153438375,-7.366760807,5.400343884,47.711820653
267.000000000,31.300984745,4,9,183.155333696,-7.366153293,5.399004694,47.712376784
267.000000000,31.300984745,5,9,183.153438375,-7.366760805,5.400343884,47.711820653
267.000000000,31.300984745,6,9,183.149645566,-7.366514062,5.404136077,47.711820036
267.000000000,31.300984745,7,9,183.143954372,-7.365503109,5.410121082,47.712113848
267.000000000,31.300984745,8,9,183.144972100,-7.366546762,5.408360522,47.711371015
267.000000000,31.300984745,9,9,183.147751521,-7.368680244,5.404096916,47.709886830
267.000000000,31.300984745,10,9,183.151545774,-7.369900013,5.399563262,47.709147429
267.000000000,31.300984745,11,9,183.155337135,-7.369168795,5.396516239,47.709891768
267.000000000,31.300984745,12,9,183.158110775,-7.367400185,5.395225708,47.711374876
267.000000000,31.300984745,13,9,183.159125611,-7.366492732,5.394951593,47.712115597
267.000000000,31.300984745,14,9,183.158110775,-7.367400185,5.395225707,47.711374875
267.000000000,31.300984745,15,9,183.155337135,-7.369168792,5.396516238,47.709891767
267.000000000,31.300984745,16,9,183.151545774,-7.369900007,5.399563263,47.709147430
267.000000000,31.300984745,17,9,183.147751521,-7.368680237,5.404096918,47.709886833
267.000000000,31.300984745,18,9,183.144972100,-7.366546757,5.408360524,47.711371017
267.000000000,31.300984745,19,9,183.140160072,-7.365409894,5.413476709,47.711675175
267.000000000,31.300984745,20,9,183.140847800,-7.366484776,5.412006205,47.710892399
267.000000000,31.300984745,21,9,183.142827501,-7.369219880,5.408045669,47.708911563
267.000000000,31.300984745,22,9,183.145859052,-7.372375845,5.402764755,47.706662200
267.000000000,31.300984745,23,9,183.149575278,-7.374542012,5.397585135,47.705198806
267.000000000,31.300984745,24,9,183.153526957,-7.374790088,5.393640640,47.705205990
267.000000000,31.300984745,25,9,183.157237463,-7.373096340,5.391403010,47.706678866
267.000000000,31.300984745,26,9,183.160260250,-7.370338276,5.390629017,47.708927660
267.000000000,31.300984745,27,9,183.162232244,-7.367872373,5.390631329,47.710901966
267.000000000,31.300984745,28,9,183.162916927,-7.366893138,5.390725757,47.711681077
267.000000000,31.300984745,29,9,183.162232244,-7.367872374,5.390631327,47.710901964
267.000000000,31.300984745,30,9,183.160260250,-7.370338277,5.390629013,47.708927656
267.000000000,31.300984745,31,9,183.157237463,-7.373096338,5.391403006,47.706678863
267.000000000,31.300984745,32,9,183.153526957,-7.374790082,5.393640639,47.705205990
267.000000000,31.300984745,33,9,183.149575278,-7.374542002,5.397585138,47.705198809
267.000000000,31.300984745,34,9,183.145859052,-7.372375832,5.402764761,47.706662206
267.000000000,31.300984745,35,9,183.142827501,-7.369219869,5.408045674,47.708911569
267.000000000,31.300984745,36,9,183.140847800,-7.366484769,5.412006209,47.710892402
268.000000000,31.561329626,0,9,183.098810457,-7.306228679,5.455615140,47.712463990
268.000000000,31.561329626,1,9,183.095009114,-7.305984146,5.459325960,47.712373468
268.000000000,31.561329626,2,9,183.096910729,-7.306863776,5.456863055,47.711812178
268.000000000,31.561329626,3,9,183.100711776,-7.307140262,5.453062636,47.711812806
268.000000000,31.561329626,4,9,183.102611210,-7.306538710,5.451724092,47.712373695
268.000000000,31.561329626,5,9,183.100711776,-7.307140261,5.453062635,47.711812805
268.000000000,31.561329626,6,9,183.096910729,-7.306863773,5.456863056,47.711812178
268.000000000,31.561329626,7,9,183.091207183,-7.305805368,5.462855867,47.712101443
268.000000000,31.561329626,8,9,183.092227126,-7.306868919,5.461086734,47.711352253
268.000000000,31.561329626,9,9,183.095012596,-7.309047993,5.456804385,47.709855374
268.000000000,31.561329626,10,9,183.098815095,-7.310309355,5.452256178,47.709109667
268.000000000,31.561329626,11,9,183.102614686,-7.309595937,5.449207317,47.709860396
268.000000000,31.561329626,12,9,183.105394338,-7.307825332,5.447923470,47.711356201
268.000000000,31.561329626,13,9,183.106411372,-7.306913983,5.447653492,47.712103258
268.000000000,31.561329626,14,9,183.105394338,-7.307825332,5.447923468,47.711356199
268.000000000,31.561329626,15,9,183.102614686,-7.309595935,5.449207315,47.709860394
268.000000000,31.561329626,16,9,183.098815095,-7.310309350,5.452256179,47.709109667
268.000000000,31.561329626,17,9,183.095012596,-7.309047986,5.456804387,47.709855377
268.000000000,31.561329626,18,9,183.092227126,-7.306868914,5.461086736,47.711352255
268.000000000,31.561329626,19,9,183.087404663,-7.305692611,5.466204169,47.711647225
268.000000000,31.561329626,20,9,183.088093890,-7.306785447,5.464725466,47.710857749
268.000000000,31.561329626,21,9,183.090077906,-7.309567848,5.460743664,47.708859964
268.000000000,31.561329626,22,9,183.093116059,-7.312783631,5.455436917,47.706591369
268.000000000,31.561329626,23,9,183.096840368,-7.315002349,5.450236729,47.705115490
268.000000000,31.561329626,24,9,183.100800630,-7.315281248,5.446283767,47.705122790
268.000000000,31.561329626,25,9,183.104519183,-7.313592979,5.444050740,47.706608317
268.000000000,31.561329626,26,9,183.107548518,-7.310822612,5.443289465,47.708876376
268.000000000,31.561329626,27,9,183.109524780,-7.308340579,5.443304404,47.710867577
268.000000000,31.561329626,28,9,183.110210944,-7.307354249,5.443404013,47.711653351
268.000000000,31.561329626,29,9,183.109524780,-7.308340580,5.443304401,47.710867574
268.000000000,31.561329626,30,9,183.107548518,-7.310822613,5.443289460,47.708876371
268.000000000,31.561329626,31,9,183.104519183,-7.313592978,5.444050736,47.706608312
268.000000000,31.561329626,32,9,183.100800630,-7.315281242,5.446283765,47.705122788
268.000000000,31.561329626,33,9,183.096840368,-7.315002339,5.450236731,47.705115492
268.000000000,31.561329626,34,9,183.093116059,-7.312783619,5.455436921,47.706591373
268.000000000,31.561329626,35,9,183.090077906,-7.309567837,5.460743670,47.708859969
268.000000000,31.561329626,36,9,183.088093890,-7.306785440,5.464725469,47.710857753
269.000000000,31.824288660,0,9,183.045966026,-7.245405274,5.508459571,47.712463990
269.000000000,31.824288660,1,9,183.042156552,-7.245130539,5.512175309,47.712370253
269.000000000,31.824288660,2,9,183.044062241,-7.246035306,5.509703555,47.711804189
269.000000000,31.824288660,3,9,183.047871423,-7.246344158,5.505895011,47.711804828
269.000000000,31.824288660,4,9,183.049774918,-7.245749860,5.504557178,47.712370489
269.000000000,31.824288660,5,9,183.047871423,-7.246344157,5.505895010,47.711804826
269.000000000,31.824288660,6,9,183.044062241,-7.246035304,5.509703555,47.711804189
269.000000000,31.824288660,7,9,183.038346496,-7.244925934,5.515703679,47.712088568
269.000000000,31.824288660,8,9,183.039368628,-7.246010108,5.513925983,47.711333004
269.000000000,31.824288660,9,9,183.042160071,-7.248236741,5.509624933,47.709823397
269.000000000,31.824288660,10,9,183.045970714,-7.249542342,5.505062258,47.709071365
269.000000000,31.824288660,11,9,183.049778432,-7.248849321,5.502011679,47.709828504
269.000000000,31.824288660,12,9,183.052564022,-7.247078591,5.500734626,47.711337041
269.000000000,31.824288660,13,9,183.053583228,-7.246164022,5.500468831,47.712090452
269.000000000,31.824288660,14,9,183.052564022,-7.247078591,5.500734623,47.711337038
269.000000000,31.824288660,15,9,183.049778432,-7.248849321,5.502011674,47.709828499
269.000000000,31.824288660,16,9,183.045970714,-7.249542339,5.505062255,47.709071363
269.000000000,31.824288660,17,9,183.042160071,-7.248236736,5.509624932,47.709823396
269.000000000,31.824288660,18,9,183.039368628,-7.246010104,5.513925984,47.711333005
269.000000000,31.824288660,19,9,183.034535860,-7.244791743,5.519043964,47.711618217
