time_s,sat_x_m,sat_y_m,sat_z_m,elevation_deg
252.000000000,1004790.695595841,0.000000000,527205.321534292,27.685622749
253.000000000,997309.051494581,0.000000000,528290.953120254,27.910902221
254.000000000,989826.234433479,0.000000000,529368.470279485,28.138294442
255.000000000,982342.253213261,0.000000000,530437.871744691,28.367829506
256.000000000,974857.116636024,0.000000000,531499.156258123,28.599537966
257.000000000,967370.833505219,0.000000000,532552.322571578,28.833450837
258.000000000,959883.412625653,0.000000000,533597.369446399,29.069599602
259.000000000,952394.862803463,0.000000000,534634.295653483,29.308016213
260.000000000,944905.192846120,0.000000000,535663.099973273,29.548733099
261.000000000,937414.411562408,0.000000000,536683.781195771,29.791783169
262.000000000,929922.527762423,0.000000000,537696.338120525,30.037199815
263.000000000,922429.550257553,0.000000000,538700.769556642,30.285016917
264.000000000,914935.487860473,0.000000000,539697.074322786,30.535268847
265.000000000,907440.349385138,0.000000000,540685.251247179,30.787990470
266.000000000,899944.143646765,0.000000000,541665.299167600,31.043217148
267.000000000,892446.879461826,0.000000000,542637.216931392,31.300984745
268.000000000,884948.565648039,0.000000000,543601.003395458,31.561329626
269.000000000,877449.211024354,0.000000000,544556.657426265,31.824288660
270.000000000,869948.824410953,0.000000000,545504.177899844,32.089899223
271.000000000,862447.414629222,0.000000000,546443.563701794,32.358199197
272.000000000,854944.990501755,0.000000000,547374.813727278,32.629226975
273.000000000,847441.560852340,0.000000000,548297.926881032,32.903021455
274.000000000,839937.134505946,0.000000000,549212.902077359,33.179622045
275.000000000,832431.720288714,0.000000000,550119.738240133,33.459068659
276.000000000,824925.327027946,0.000000000,551018.434302803,33.741401720
277.000000000,817417.963552099,0.000000000,551908.989208391,34.026662152
278.000000000,809909.638690767,0.000000000,552791.401909491,34.314891383
279.000000000,802400.361274677,0.000000000,553665.671368277,34.606131337
280.000000000,794890.140135678,0.000000000,554531.796556499,34.900424435
281.000000000,787378.984106724,0.000000000,555389.776455485,35.197813585
282.000000000,779866.902021874,0.000000000,556239.610056144,35.498342181
283.000000000,772353.902716271,0.000000000,557081.296358967,35.802054093
284.000000000,764839.995026139,0.000000000,557914.834374025,36.108993660
285.000000000,757325.187788773,0.000000000,558740.223120972,36.419205684
286.000000000,749809.489842524,0.000000000,559557.461629050,36.732735417
287.000000000,742292.910026786,0.000000000,560366.548937082,37.049628553
288.000000000,734775.457182000,0.000000000,561167.484093484,37.369931213
289.000000000,727257.140149625,0.000000000,561960.266156253,37.693689937
290.000000000,719737.967772141,0.000000000,562744.894192981,38.020951664
291.000000000,712217.948893029,0.000000000,563521.367280846,38.351763719
292.000000000,704697.092356774,0.000000000,564289.684506618,38.686173794
293.000000000,697175.407008840,0.000000000,565049.844966662,39.024229932
294.000000000,689652.901695664,0.000000000,565801.847766934,39.365980505
295.000000000,682129.585264655,0.000000000,566545.692022985,39.711474188
296.000000000,674605.466564170,0.000000000,567281.376859960,40.060759943
297.000000000,667080.554443511,0.000000000,568008.901412603,40.413886985
298.000000000,659554.857752912,0.000000000,568728.264825255,40.770904761
299.000000000,652028.385343531,0.000000000,569439.466251853,41.131862914
300.000000000,644501.146067441,0.000000000,570142.504855937,41.496811257
301.000000000,636973.148777613,0.000000000,570837.379810645,41.865799733
302.000000000,629444.402327908,0.000000000,571524.090298719,42.238878384
303.000000000,621914.915573075,0.000000000,572202.635512501,42.616097308
304.000000000,614384.697368729,0.000000000,572873.014653936,42.997506619
305.000000000,606853.756571344,0.000000000,573535.226934575,43.383156404
306.000000000,599322.102038245,0.000000000,574189.271575575,43.773096674
307.000000000,591789.742627600,0.000000000,574835.147807696,44.167377319
308.000000000,584256.687198402,0.000000000,575472.854871309,44.566048049
309.000000000,576722.944610463,0.000000000,576102.392016389,44.969158345
310.000000000,569188.523724406,0.000000000,576723.758502523,45.376757396
311.000000000,561653.433401648,0.000000000,577336.953598907,45.788894041
312.000000000,554117.682504396,0.000000000,577941.976584346,46.205616701
313.000000000,546581.279895632,0.000000000,578538.826747258,46.626973315
314.000000000,539044.234439105,0.000000000,579127.503385672,47.053011264
315.000000000,531506.554999323,0.000000000,579708.005807232,47.483777298
316.000000000,523968.250441536,0.000000000,580280.333329194,47.919317459
317.000000000,516429.329631729,0.000000000,580844.485278430,48.359676998
318.000000000,508889.801436616,0.000000000,581400.460991427,48.804900287
319.000000000,501349.674723621,0.000000000,581948.259814287,49.255030733
320.000000000,493808.958360874,0.000000000,582487.881102731,49.710110682
321.000000000,486267.661217196,0.000000000,583019.324222097,50.170181324
322.000000000,478725.792162096,0.000000000,583542.588547342,50.635282593
323.000000000,471183.360065752,0.000000000,584057.673463043,51.105453060
