time_s,sat_x_m,sat_y_m,sat_z_m,elevation_deg
674.700000000,-2151594.096681641,0.000000000,259647.317051685,6.880993105
674.800000000,-2152313.173020728,0.000000000,259413.939207827,6.872592621
674.900000000,-2153032.224045927,0.000000000,259180.483382021,6.864195486
675.000000000,-2153751.249748777,0.000000000,258946.949577016,6.855801697
675.100000000,-2154470.250120823,0.000000000,258713.337795558,6.847411251
675.200000000,-2155189.225153611,0.000000000,258479.648040393,6.839024144
675.300000000,-2155908.174838683,0.000000000,258245.880314271,6.830640374
675.400000000,-2156627.099167582,0.000000000,258012.034619942,6.822259938
675.500000000,-2157345.998131853,0.000000000,257778.110960155,6.813882831
675.600000000,-2158064.871723043,0.000000000,257544.109337661,6.805509052
675.700000000,-2158783.719932695,0.000000000,257310.029755213,6.797138597
675.800000000,-2159502.542752356,0.000000000,257075.872215563,6.788771464
675.900000000,-2160221.340173571,0.000000000,256841.636721468,6.780407648
676.000000000,-2160940.112187887,0.000000000,256607.323275679,6.772047147
676.100000000,-2161658.858786848,0.000000000,256372.931880953,6.763689957
676.200000000,-2162377.579962002,0.000000000,256138.462540048,6.755336077
676.300000000,-2163096.275704897,0.000000000,255903.915255721,6.746985502
676.400000000,-2163814.946007078,0.000000000,255669.290030730,6.738638230
676.500000000,-2164533.590860094,0.000000000,255434.586867835,6.730294257
676.600000000,-2165252.210255494,0.000000000,255199.805769797,6.721953581
676.700000000,-2165970.804184825,0.000000000,254964.946739376,6.713616198
676.800000000,-2166689.372639633,0.000000000,254730.009779336,6.705282106
676.900000000,-2167407.915611470,0.000000000,254494.994892438,6.696951301
677.000000000,-2168126.433091884,0.000000000,254259.902081448,6.688623780
677.100000000,-2168844.925072424,0.000000000,254024.731349128,6.680299540
677.200000000,-2169563.391544639,0.000000000,253789.482698248,6.671978579
677.300000000,-2170281.832500082,0.000000000,253554.156131572,6.663660893
677.400000000,-2171000.247930301,0.000000000,253318.751651869,6.655346479
677.500000000,-2171718.637826845,0.000000000,253083.269261907,6.647035334
677.600000000,-2172437.002181267,0.000000000,252847.708964456,6.638727455
677.700000000,-2173155.340985118,0.000000000,252612.070762285,6.630422839
677.800000000,-2173873.654229949,0.000000000,252376.354658169,6.622121484
677.900000000,-2174591.941907311,0.000000000,252140.560654876,6.613823385
678.000000000,-2175310.204008758,0.000000000,251904.688755182,6.605528540
678.100000000,-2176028.440525842,0.000000000,251668.738961861,6.597236947
678.200000000,-2176746.651450113,0.000000000,251432.711277686,6.588948601
678.300000000,-2177464.836773126,0.000000000,251196.605705434,6.580663501
678.400000000,-2178182.996486435,0.000000000,250960.422247884,6.572381642
678.500000000,-2178901.130581592,0.000000000,250724.160907811,6.564103023
678.600000000,-2179619.239050150,0.000000000,250487.821687996,6.555827640
678.700000000,-2180337.321883667,0.000000000,250251.404591217,6.547555489
678.800000000,-2181055.379073695,0.000000000,250014.909620253,6.539286569
678.900000000,-2181773.410611787,0.000000000,249778.336777890,6.531020876
679.000000000,-2182491.416489500,0.000000000,249541.686066908,6.522758407
679.100000000,-2183209.396698390,0.000000000,249304.957490088,6.514499160
679.200000000,-2183927.351230011,0.000000000,249068.151050219,6.506243130
679.300000000,-2184645.280075920,0.000000000,248831.266750082,6.497990316
679.400000000,-2185363.183227674,0.000000000,248594.304592466,6.489740714
679.500000000,-2186081.060676829,0.000000000,248357.264580155,6.481494322
